City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,ta`u,-14.2336,-169.5144,25.74,76,100,10.78,AS,1724524300
155,albu kamal,34.45,40.9186,35.4,24,0,3.79,SY,1724524302
156,careiro da varzea,-3.2003,-59.8119,35.34,25,9,1.95,BR,1724524303
157,altay,47.8667,88.1167,19.95,33,52,2.33,CN,1724524304
158,ugoofaaru,5.6667,73.0,27.92,74,100,4.3,MV,1724524305
159,timbuktu,16.7735,-3.0074,32.7,45,17,7.31,ML,1724524307
160,badger,64.8,-147.5333,8.33,86,75,2.57,US,1724524081
161,st. john's,47.5649,-52.7093,23.49,57,40,9.77,CA,1724523818
162,awjilah,29.1081,21.2869,33.5,33,0,9.1,LY,1724524310
163,balsas,-7.5325,-46.0356,37.12,20,52,4.0,BR,1724524312
164,cabo san lucas,22.8909,-109.9124,33.2,55,20,5.66,MX,1724524139
165,yajiwa,11.3839,12.7236,25.34,75,99,3.12,NG,1724524314
166,hasaki,35.7333,140.8333,26.71,89,100,6.45,JP,1724523981
167,port shepstone,-30.7414,30.455,20.16,76,0,5.74,ZA,1724523780
168,port mathurin,-19.6833,63.4167,21.85,82,100,7.53,MU,1724524063
169,muana,-1.5283,-49.2167,33.6,41,87,1.84,BR,1724524319
170,igbeti,8.75,4.1333,22.9,95,100,2.04,NG,1724524320
171,kutum,14.2,24.6667,22.72,79,100,4.86,SD,1724524321
172,arraial do cabo,-22.9661,-42.0278,25.98,69,40,4.12,BR,1724524322
173,rio grande,-32.035,-52.0986,11.06,61,100,6.78,BR,1724524323
174,upington,-28.4478,21.2561,17.21,34,0,3.6,ZA,1724524058
175,severo-yeniseyskiy,60.3725,93.0408,10.56,93,57,1.58,RU,1724524326
176,zeya,53.75,127.2667,14.89,77,100,2.09,RU,1724524327
177,omdurman,15.6445,32.4777,29.82,56,100,3.49,SD,1724524328
178,hammerfest,70.6634,23.6821,17.25,77,75,2.06,NO,1724523773
179,utrik,11.2278,169.8474,27.78,76,100,5.25,MH,1724524271
180,bredasdorp,-34.5322,20.0403,9.83,79,1,3.72,ZA,1724524332
181,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,2.0,RU,1724524073
182,woolgoolga,-30.1106,153.2007,17.93,81,7,3.96,AU,1724524066
183,bamboo flat,11.7,92.7167,27.05,89,40,1.03,IN,1724524335
184,bartica,6.4,-58.6167,30.89,59,92,2.16,GY,1724524336
185,port augusta,-32.5,137.7667,18.42,73,100,3.26,AU,1724524337
186,soligalich,59.0778,42.2864,13.47,95,1,2.17,RU,1724524338
187,vila franca do campo,37.7167,-25.4333,25.23,59,1,2.6,PT,1724523913
188,tome acu,-2.4189,-48.1522,37.4,23,99,1.58,BR,1724524341
189,smara,26.7384,-11.6719,27.15,47,0,7.69,EH,1724524342
190,xining,36.6167,101.7667,17.77,94,100,1.22,CN,1724524343
191,formosa do rio preto,-11.0483,-45.1931,33.4,21,11,2.76,BR,1724524344
192,inhambane,-23.865,35.3833,18.99,82,20,2.06,MZ,1724524226
193,richards bay,-28.783,32.0377,20.15,59,0,8.79,ZA,1724524347
194,berdigestyakh,62.0989,126.6992,15.0,79,100,2.94,RU,1724524349
195,namsos,64.4662,11.4957,13.95,82,40,1.54,NO,1724524350
196,hancheng,32.5186,112.3522,27.72,83,99,2.5,CN,1724524351
197,villa gesell,-37.2639,-56.973,8.97,67,100,8.97,AR,1724524353
198,kingston,17.997,-76.7936,32.53,58,20,6.69,JM,1724524192
199,kotlas,61.2611,46.6556,13.84,97,24,2.11,RU,1724524355
200,alto araguaia,-17.3147,-53.2153,32.68,23,87,8.04,BR,1724524356
201,labytnangi,66.6572,66.4183,11.28,86,33,2.3,RU,1724524067
202,chibougamau,49.9168,-74.3659,17.79,82,100,3.09,CA,1724524358
203,kitob,39.0843,66.8332,24.47,20,0,1.82,UZ,1724524360
204,haiku-pauwela,20.9219,-156.3051,24.73,91,65,5.81,US,1724524361
205,pul-e 'alam,33.9953,69.0227,22.43,37,0,1.38,AF,1724524362
206,mikomeseng,2.1361,10.6132,21.09,88,100,1.29,GQ,1724524363
207,margate,51.3813,1.3862,16.04,86,100,0.45,GB,1724524139
208,el granada,37.5027,-122.4694,22.78,73,100,5.14,US,1724524300
209,tofol,5.3248,163.0078,28.44,74,98,5.0,FM,1724523799
210,shahrinav,38.5709,68.335,24.19,19,0,2.36,TJ,1724524368
211,saipan,15.1355,145.701,28.39,78,40,1.54,MP,1724524369
212,alotau,-10.3069,150.4462,23.01,95,96,2.61,PG,1724524370
213,picos,-7.0769,-41.4669,36.69,19,10,2.52,BR,1724524371
214,korla,41.7597,86.1469,26.62,39,0,3.11,CN,1724524199
215,guerrero negro,27.9769,-114.0611,25.04,54,0,6.26,MX,1724524255
216,maine soroa,13.2114,12.0241,29.35,56,100,3.9,NE,1724524375
217,ancud,-41.8697,-73.8203,8.62,68,100,1.91,CL,1724524284
218,yarmouth,41.7057,-70.2286,27.29,62,0,4.63,US,1724524228
219,forster,-32.1667,152.5167,18.04,70,100,2.67,AU,1724524256
220,mossel bay,-34.1831,22.146,13.96,71,34,5.81,ZA,1724524379
221,cedeira,43.6797,-8.0209,19.43,68,9,4.5,ES,1724524380
222,tolanaro,-25.0319,46.9987,20.04,52,75,5.14,MG,1724524382
223,pocoes,-14.5297,-40.3653,25.92,40,4,4.04,BR,1724524228
224,zhangye,38.9342,100.4517,19.38,72,100,4.0,CN,1724524384
225,sao vicente,-23.9631,-46.3919,18.32,26,100,1.03,BR,1724524251
226,sinan,34.8262,126.1086,24.67,88,0,0.37,KR,1724524386
227,belmonte,-15.8631,-38.8828,25.66,61,88,3.69,BR,1724524387
228,frolovo,49.7713,43.6622,21.75,34,4,2.63,RU,1724524389
229,ciudad benito juarez,25.65,-100.0833,32.46,55,20,4.63,MX,1724524253
230,kitui,-1.367,38.0106,20.24,54,2,5.61,KE,1724524391
231,al fallujah,33.3538,43.7795,40.87,10,93,3.03,IQ,1724524392
232,esens,53.6487,7.6127,16.08,100,27,8.75,DE,1724524393
233,dryden,49.7833,-92.7503,27.16,50,0,4.63,CA,1724524395
234,redencao,-4.2258,-38.7306,31.1,41,100,5.89,BR,1724524396
235,orange walk,17.8333,-88.8333,29.65,79,100,1.45,BZ,1724524397
236,nizhnesortymskiy,62.4397,71.7603,11.35,74,25,5.73,RU,1724524398
237,selfoss,63.9331,-20.9971,8.36,75,100,5.52,IS,1724524282
238,nueva villa de padilla,24.0167,-98.7833,36.7,32,4,2.43,MX,1724524400
239,yakeshi,49.2833,120.7333,12.82,89,100,3.37,CN,1724524402
240,javea,38.7833,0.1667,28.09,80,0,3.58,ES,1724524403
241,talnakh,69.4865,88.3972,11.88,77,95,2.33,RU,1724524024
242,minot air force base,48.4209,-101.3391,29.05,65,40,6.69,US,1724524405
243,klaksvik,62.2266,-6.589,10.75,81,95,3.36,FO,1724524406
244,umraniye,41.0164,29.1248,25.28,71,51,4.41,TR,1724524407
245,port alfred,-33.5906,26.891,14.54,87,35,0.45,ZA,1724524409
246,yasuj,30.6682,51.588,25.75,53,20,3.09,IR,1724524410
247,ketchikan,55.3422,-131.6461,15.26,82,75,3.09,US,1724524411
248,bouarfa,32.53,-1.95,30.4,23,96,7.81,MA,1724524412
249,kapenguria,1.2511,35.0895,13.85,89,94,2.72,KE,1724524413
250,mount gambier,-37.8333,140.7667,12.65,70,19,3.83,AU,1724524069
251,rongelap,11.1635,166.8941,28.02,72,100,6.03,MH,1724524101
252,mahibadhoo,3.7833,72.9667,27.91,75,100,3.86,MV,1724524417
253,chandbali,20.7833,86.7667,25.1,93,100,4.42,IN,1724524418
254,macapa,0.0389,-51.0664,32.99,62,40,3.6,BR,1724524204
255,maqat,47.65,53.3167,23.81,26,3,4.46,KZ,1724524420
256,uturoa,-16.7333,-151.4333,25.87,79,85,7.49,PF,1724524421
257,puerto baquerizo moreno,-0.9,-89.6,23.55,64,40,6.69,EC,1724524000
258,alta,69.9689,23.2717,16.59,79,100,1.54,NO,1724524154
259,cill airne,52.05,-9.5167,13.03,76,75,3.09,IE,1724524425
260,nemuro,43.3236,145.575,16.91,88,59,4.13,JP,1724524426
261,saskatoon,52.1168,-106.6345,25.99,39,20,4.63,CA,1724524386
262,dakingari,11.6451,4.0605,25.7,83,51,2.51,NG,1724524428
263,nenjiang,49.1833,125.2167,17.79,98,100,4.97,CN,1724524430
264,isla mujeres,21.2311,-86.731,32.03,71,95,4.04,MX,1724524431
265,el alto,-4.2714,-81.2147,19.69,71,30,8.87,PE,1724524432
266,sittwe,20.15,92.9,25.15,95,100,3.05,MM,1724524433
267,polovinnoye,54.7914,65.9864,10.22,89,59,5.93,RU,1724524434
268,bocas del toro,9.3333,-82.25,29.0,68,99,3.93,PA,1724524435
269,coahuayana de hidalgo,18.7,-103.6583,30.31,69,86,1.97,MX,1724524437
270,pandan,14.0453,124.1694,26.63,88,100,2.31,PH,1724524212
271,luba,3.4568,8.5547,24.94,87,95,2.88,GQ,1724524439
272,jiayuguan,39.8167,98.3,17.36,74,71,1.3,CN,1724524440
273,vodice,43.7608,15.7828,30.39,59,32,2.25,HR,1724524441
274,kapuskasing,49.4169,-82.4331,22.0,78,75,3.09,CA,1724523962
275,toamasina,-18.1667,49.3833,20.0,94,75,3.6,MG,1724524444
276,yayladagi,35.9025,36.0627,23.46,84,39,3.59,TR,1724524445
277,mogocha,53.7333,119.7667,12.48,96,100,2.48,RU,1724524446
278,buzuluk,52.7807,52.2635,18.3,57,2,2.25,RU,1724524333
279,saint-philippe,-21.3585,55.7679,18.83,68,32,5.97,RE,1724524448
280,westport,41.1415,-73.3579,28.64,54,0,3.6,US,1724524377
281,hithadhoo,-0.6,73.0833,28.2,73,19,2.4,MV,1724524114
282,stropkov,49.2021,21.6522,20.92,50,100,1.07,SK,1724524452
283,kavieng,-2.5744,150.7967,27.44,79,100,4.99,PG,1724524453
284,shinas,24.7433,56.4658,32.39,58,99,3.31,OM,1724524454
285,morehead city,34.7229,-76.726,28.35,73,40,6.69,US,1724524425
286,fisterra,42.9049,-9.2629,18.53,66,0,7.87,ES,1724524457
287,verkhneural'sk,53.8769,59.2106,11.09,82,100,1.14,RU,1724524458
288,kapa'a,22.0752,-159.319,27.18,87,75,9.26,US,1724524325
289,papao,-17.75,-149.55,26.82,76,100,4.35,PF,1724524460
290,lorengau,-2.0226,147.2712,26.96,82,26,3.62,PG,1724524461
291,hamilton,39.1834,-84.5333,32.97,46,20,2.06,US,1724523908
292,tangalle,6.024,80.7911,25.72,88,100,4.57,LK,1724524464
293,novokayakent,42.3937,47.9861,23.47,68,100,2.58,RU,1724524465
294,correntina,-13.3433,-44.6367,32.11,20,0,2.57,BR,1724524466
295,arnprior,45.4334,-76.3494,24.76,42,100,0.78,CA,1724524243
296,mahina,-17.5065,-149.489,26.87,69,0,1.54,PF,1724524468
297,kenton,38.9501,-84.5333,32.88,45,75,2.06,US,1724524469
298,am timan,11.0297,20.2827,22.96,95,100,2.31,TD,1724524471
299,klyuchi,52.2667,79.1667,17.14,72,52,3.45,RU,1724523938
300,san antonio de pale,-1.4014,5.6325,23.59,83,0,4.04,GQ,1724524411
301,aktau,43.65,51.2,26.32,33,97,6.69,KZ,1724524474
302,sinabang,2.4803,96.3801,25.21,86,100,1.56,ID,1724524475
303,turtas,58.9417,69.1325,12.05,97,100,5.13,RU,1724524476
304,ribeira grande,38.5167,-28.7,25.22,73,20,3.6,PT,1724524178
305,telhara,21.0269,76.8389,23.64,95,100,7.12,IN,1724524479
306,vyazemskiy,47.5378,134.7525,12.7,94,100,2.02,RU,1724524480
307,sao felix do xingu,-6.6447,-51.995,38.6,18,9,1.48,BR,1724524481
308,puerto carreno,6.189,-67.4859,31.99,62,40,3.09,CO,1724524482
309,alofi,-19.0595,-169.9187,19.94,94,20,1.03,NU,1724524483
310,suva,-18.1416,178.4415,23.71,88,40,3.09,FJ,1724524485
311,laojunmiao,39.8333,97.7333,14.56,81,59,1.41,CN,1724524486
312,gunnedah,-30.9833,150.25,15.15,72,100,2.11,AU,1724524487
313,santarem,-2.4431,-54.7083,33.07,55,40,7.72,BR,1724524308
314,zouerate,22.7187,-12.4521,35.35,14,5,5.7,MR,1724524406
315,hampton bays,40.869,-72.5176,26.09,72,8,2.68,US,1724524491
316,tangail,24.25,89.9167,26.94,86,100,1.75,BD,1724524492
317,pucallpa,-8.3791,-74.5539,35.02,49,40,1.03,PE,1724524321
318,al burayqah,30.4062,19.5739,27.85,78,0,6.32,LY,1724524494
319,hun,29.1268,15.9477,33.16,28,0,5.15,LY,1724524495
320,richmond,37.5538,-77.4603,30.58,42,20,2.57,US,1724524268
321,vernon,50.2581,-119.2691,15.97,66,100,1.03,CA,1724524498
322,zhytkavichy,52.2168,27.8561,19.98,45,91,1.93,BY,1724524499
323,port saint john's,-31.6229,29.5448,19.48,90,1,10.94,ZA,1724523944
324,san pedro pochutla,15.7333,-96.4667,33.73,48,11,3.51,MX,1724524501
325,kedougou,12.5579,-12.1743,29.32,84,20,2.06,SN,1724524502
326,puerto quijarro,-17.7833,-57.7667,26.27,37,19,4.33,BO,1724524504
327,luocheng,29.3848,104.0286,28.25,77,100,1.67,CN,1724524505
328,port lincoln,-34.7333,135.8667,16.67,60,3,7.55,AU,1724524036
329,yeppoon,-23.1333,150.7333,19.15,91,21,2.74,AU,1724524507
330,stanley,54.868,-1.6985,14.04,64,20,7.72,GB,1724523958
331,belen,36.4891,36.2233,24.08,74,40,4.63,TR,1724524510
332,isafjordur,66.0755,-23.124,2.44,98,100,5.13,IS,1724524027
333,igarka,67.4667,86.5833,8.58,78,0,3.2,RU,1724524512
334,kincardine,56.0667,-3.7167,13.15,85,32,6.12,GB,1724524513
335,alice springs,-23.7,133.8833,20.75,43,11,3.09,AU,1724524514
336,merizo village,13.2658,144.6691,27.21,94,100,1.53,GU,1724524515
337,puerto armuelles,8.2833,-82.8667,28.38,73,100,1.79,PA,1724524278
338,damara,4.9608,18.7035,22.25,92,100,1.48,CF,1724524518
339,remire-montjoly,4.9167,-52.2667,32.02,70,75,6.17,GF,1724524152
340,wenling,28.3669,121.36,26.03,90,59,2.82,CN,1724524520
341,xiongzhou,25.1167,114.3,24.65,93,28,1.39,CN,1724524521
342,turkmenabat,39.0733,63.5786,29.99,23,0,4.12,TM,1724524522
343,port said,31.2565,32.2841,28.99,79,0,5.14,EG,1724524524
344,alpena,45.0617,-83.4327,25.62,67,75,2.06,US,1724524525
345,kalabo,-14.97,22.6814,19.8,22,0,2.2,ZM,1724524526
346,port blair,11.6667,92.75,27.02,89,40,1.03,IN,1724524527
347,kuqa,41.7278,82.9364,25.58,39,97,3.16,CN,1724524528
348,nabire,-3.3667,135.4833,23.56,95,92,1.55,ID,1724524283
349,okahao,-17.885,15.0667,21.98,15,0,4.27,NA,1724524532
350,leninskoye,41.7589,69.3864,20.6,36,0,4.53,KZ,1724524533
351,pangody,65.85,74.4859,11.9,84,95,3.81,RU,1724524050
352,mandan,46.8267,-100.8896,29.56,79,20,8.23,US,1724524535
353,dwarka,22.2394,68.9678,27.93,79,99,8.91,IN,1724524043
354,narra,9.3167,118.4,25.33,88,100,0.48,PH,1724524538
355,kargopol',61.5071,38.9456,13.96,96,2,2.27,RU,1724524539
356,male,4.1748,73.5089,27.97,83,75,2.57,MV,1724524540
357,cabedelo,-6.9811,-34.8339,28.37,75,4,6.8,BR,1724524541
358,as samawah,31.332,45.2944,41.49,9,0,1.67,IQ,1724524542
359,sai buri,6.7013,101.6168,24.47,92,100,2.07,TH,1724524545
360,ubon ratchathani,15.1667,105.1667,25.64,82,100,2.18,TH,1724524546
361,nichinan,31.6,131.3667,25.37,91,49,0.49,JP,1724524547
362,amungan,15.3652,119.9582,27.3,79,100,1.22,PH,1724524548
363,fukuecho,32.6881,128.8419,28.21,83,40,2.18,JP,1724524549
364,katerero,-1.4,31.7333,22.46,55,75,0.63,TZ,1724524551
365,nar'yan-mar,67.6713,53.087,16.68,76,95,3.83,RU,1724524410
